label,data
1,"Which Hogwarts Houses Do The Characters Of ""Brooklyn Nine-Nine"" Belong In"
0,"South Korea Dodges Recession, but Narrowly"
0,Four children among seven killed after police chase ends in crash in US
0,Over 30 killed in a Baghdad restaurant bombing
0,NOAA says Earth's oceans becoming more acidic
1,21 British Christmas Traditions America Needs To Adopt
0,Rail network in Kashmir comes under attack
0,Apple updates iMac line
1,"Meet Stoner Sloth, The NSW Government's New Anti-Pot Mascot"
0,Genzyme Halts Production of Two Drugs
0,Apple agrees to replace iPod nanos with cracked screens
1,14 Ridiculously Funny Dirty Talk Moments
0,A Bomb Kills 12 Children in Pakistan
1,Literally Just 20 Pictures Of Tom Hiddleston
1,18 Of The Most Hilarious Media Corrections Of 2015
0,Pope Benedict XVI confirms visit to Scotland as part of his UK tour
1,5 Ridiculous Things Science Claimed About Bearded Men In 2015
1,An Adorable Animals Advent Calendar: December 13
0,Space Shuttle Discovery successfully launches after a month of delays
1,BFWKND
1,"Here's What The Cast Of ""Hannah Montana"" Looks Like 10 Years Later"
1,A Regular Guy Trained Like An FBI Agent For A Day And Actually Nailed It
0,Boeheim as Fund-Raiser Outdoes Boeheim as Coach
1,33 Things Shia LaBeouf Said To Students In A Lift In The Oxford Union
1,17 Charts To Help You Eat Healthy
0,Signs of Health Stirring in China
1,"Can You Match The ""BoJack Horseman"" Quote To The Character"
1,What Does Your Blood Type Say About Your Personality
0,Stocks Slump on Corporate Woes; Indexes Fall by 3.4%
0,"As His Fans Stay Late, Andy Murray Stays Alive at Wimbledon"
1,16 Easy And Delicious Recipes That Are Completely Turkey-Free
0,Dozens dead after bus accident in Cameroon
0,Turkey lifts ban on YouTube
0,Switzerland Agrees to Help Pursue Tax Cheats
0,Khalid Shakar al-Dulaimi
0,Australian government concedes the federal budget may be forced into deficit
1,21 Celebrity Kids Who Are Killing Us With Cuteness On Instagram
1,"Every ""The Office"" Relationship, Definitively Ranked"
0,Argentina Decides to Move Up Its Elections
0,Bombings in Iraq kill scores
0,Error hits Greenpeace donations
0,Golf: Ángel Cabrera wins 2009 Masters Tournament
1,26 Hilarious Tweets About Birth Control That Will Get You Every Time
1,10 Delicious Recipes That Are Made With Coconut Milk
0,"EU, China fail to agree on textile trade"
1,"48 Lessons My Younger, 21-Year-Old Sister Taught Me"
0,Ralph Nader calls out Democrats for financial bailout
0,Court Orders California to Cut Prison Population
1,"Yo, You Wanna Netflix And Chilaquiles"
0,FIA lays out cost cutting measures for Formula One
0,Obama Speaks at N.A.A.C.P. Celebration
1,These Majestic Photos Will Give You A Spacegasm
0,"7 killed, 50 injured in Bangladesh shopping mall fire"
1,17 Real Canadian Horror Stories That Will Keep You Up At Night
1,18 Ideas For A Badass Halloween Wedding
0,"On Sixth Try, Endeavour Lifts Off"
0,Reluctant Jeter Is Kept on the Bench With a Sore Ankle
1,Which Famous Trio Of Friends Would You Belong To
0,First successful womb transplant recipient passes six-week pregnancy mark
1,"OMG You Guys, There Is A Dress Version Of Those Mermaid Pillows"
0,France confirms deportation of illegal Afghan immigrants
1,"We Asked Couples Try Each Other's Hobbies And It Was Pretty, Pretty Cute"
0,"H5N1 Avian Flu virus has mutated, study says"
1,11 Ways Your Makeup Can Literally Turn You On
1,People Drink Hurricanes For The First Time
0,Continental 737 runs off runway at Denver International Airport
1,"Honestly, Goldilocks Was The Absolute Worst"
0,Stolen Utahraptor recovered in Australian Capital Territory
0,Some States in a Pinch May Raise Gasoline Tax
0,Major snow disruption in Britain; Wikinews reports from affected village
1,28 Tweets About Weddings That Will Make You Laugh Out Loud
0,Plane makes emergency water landing in Darwin Harbour
1,18 Hilarious Reactions To Netflix Launching In India
0,Gas Deal in Europe Is Undone and Redone
1,19 Surprising Confessions From People Who Married For Money
0,London bombing death toll rises to 'more than 50'
1,25 Things Everyone Who Studied In Australia Is Guilty Of Doing
0,"Wikinews interviews Christopher Beyette, prince of the Principality of Vikesland"
0,U.S. Plan to Stem Foreclosures Is Mired in Paper Avalanche
1,The Most Beautiful Love Story You'll See Onscreen This Year
0,Corruption blamed for Papuan rainforest destruction
1,Here Are 21 Healthy Fall Soups To Stock Your Freezer
1,23 Things Every Tall Woman Never Wants To Hear Again
1,6 Photos of Sia Being Guided Out Of Her Car
0,"French broadcasters barred from saying ""Facebook"" or ""Twitter"" on air"
0,Three hostages return home to Florida
0,"15,000 attended memorial for Zhao Ziyang"
0,"Deepwater Horizon oil well finally dead, authorities say"
0,Romania redenominates its currency
0,South African Vipers win Singapore Rugby Sevens
0,US blocks use of mapping technology in China
0,Anti-war protestors arrested outside White House
0,Illnesses Afflict Homes With a Criminal Past
1,GFs Shaved Their BFs' Faces... And Blood Was Everywhere
1,11 Ways To Actually Become A Person Who Works Out
0,How to Make Smart Gifts to Charities in Tough Financial Times
1,Sarah Paulson Solidified Her Iconicness During Her Red Carpet Interview At The Emmys
0,Canada presses Iran for an international investigation into Kazemi death
1,17 Beautifully Designed Mermaid Tattoos
0,Ex-K.G.B. Agent Buying London Tabloid
1,We Know Your Favorite Cocktail Based On Your Zodiac Sign
0,"Two jockeys killed in fire in North Yorkshire, England"
0,Afghan Blast Kills 4 U.S. Soldiers
1,7 Charts That Will Explain Life's Mysteries
0,"Conservatives in Alberta, Canada re-elected 11th consecutive time"
0,Anniversaries for Tibet and Tiananmen Square Have China on Edge
1,What Should You Netflix And Do Based On Your Emoji Preference
1,This Is What Actually Makes You Sleepy At Thanksgiving Dinner
0,"Secure Enough to Sin, Baghdad Revisits Old Ways"
1,How Much Of America Do You Actually Like
0,Thai anti-government leaders escape capture
0,Report Faults Treatment of Women Held at Immigration Centers
1,Someone Needs To Invent This App That Plays Nickelback Songs To Stop You From Stalking Your Ex Online
0,Australian federal election announced for August 21
1,Nicki Minaj Just Got Into Another Twitter Feud
0,Athletes Protest Rule Requiring Drug Testers to Know Whereabouts
0,New species of dolphin found off Australia
0,We'll always have .paris: ICANN votes for top level domain registration in 2009
1,Check Out These 5 Simple Tricks To Mess With Your Friends
0,Soyuz TMA-11 spacecraft lands
1,31 Things That Didn't Look At All Like Penises In 2015
1,We Know If You're A College Student Based On Your Reaction To These GIFs
1,Men Wore Makeup For A Week And Looked Glam AF
1,The Most Important Member Of The Beckham Household Has Joined Instagram
0,US scientist creates 'artificial life'
1,Thoughts Everyone Has In Public Bathrooms
1,8 WTF Moments Of The 2016 Presidential Race
0,Title IX Ruling Involving U.C. Davis Could Lead to Stricter Standards
1,41 Devastatingly British Things That Happened In 2015
0,U.S. to Pledge $40 Million for Afghanistan Elections
0,"Buffalo, NY firefighter injured while battling blaze"
1,29 Movies That Will Be 20 Years Old In 2016
0,Rangers Head Into Playoffs on a Winning Note
1,How Hip Were You In 2015
1,22 Secrets Au Pairs Will Never Reveal
0,Canadian Conservatives vow to defend Arctic sovereignty
1,"In Case You're Wondering, This Is What David Beckham Looks Like Dressed Up As Freddie Mercury"
0,Jailed Libyan Dissident Dies in Jordanian Hospital
1,"Justin Bieber's ""GQ"" Cover Will Make You Feel Some Type Of Way"
1,Jimmy Fallon's Puppies Predicted The Broncos Will Win The Super Bowl
1,17 Dads Who Almost Definitely Traumatized Their Kids
0,Growing Need for Medicaid Strains States
0,Raúl Castro chosen as new President of Cuba
1,Kylie Jenner's Snapchat Is Going To Kill Someone
1,Would You Pass Fourth Grade Anatomy Today
1,Snarky Texts That All Siblings Send Each Other
1,Only Solve This Puzzle If You Hate Authority
1,21 Things You Should Never Say To A Skinny Girl
0,Oldest living European person reaches age 114
1,What Date Would Zac Efron Take You On
0,Prince Rainier III of Monaco has died
1,People Are Posting Racist Comments On MAC's Instagram Of A Black Model
0,Allies Ponder How to Plan Elections in Afghanistan
1,"Barbara Walters Told Bradley Cooper To His Face That She Finds Him ""Screwable"""
1,Here's What Would Happen If Flight Attendants Were Honest
1,17 Delectable No-Bake Desserts That'll Change Your Life
0,"Natural Gas, Suddenly Abundant, Is Cheaper"
1,Can You Last 30 Seconds In A Post Full Of Pictures Of Zits Being Popped
1,Get Ready To Indulge With BuzzFeed Tasty's Newsletter
1,"Nick Kroll And Amy Poehler Split, Love Is Dead, And My Hatred For Summer Grows"
0,"Fighting continues in Tripoli, Lebanon"
0,IPCC chief refuses to apologize for glacier error
0,US military admits to accidentally killing Iraqi child
0,"Magnitude seven earthquake hits Japan, tsunami warning issued then withdrawn"
1,Can You Name These Disney Villains By Just Looking At Their Hands
1,15 Awesome Gifts For Anyone Who Loves Boobs
1,These Are The Magazines You Should Be Reading In 2016
1,"In Search Of The Next ""Battlestar Galactica"""
0,Civilians Flee as Pakistani Forces Hit Resistance
1,19 Confessions That Capture What It Feels Like To Be Insecure In A Relationship
0,"Norway Wins, While Russia Calls the Tune"
0,Florida Backs Away From Prep Schedule Favoring Football
0,Phelps Retains Mazda Sponsorship After Apology to Chinese
1,We Know How Fast You Orgasm Based On This One Question
0,"In Ecuador, Resentment Oozes Long After an Oil Company Departs"
0,North Korea conducts test of nuclear weapon
1,26 Pregnant Women Who Totally Slayed Halloween
0,IMF and EU approve aid for Georgia
1,How Many Emma Watson Movies Have You Seen
0,Two police officers injured in Pentagon shooting incident
1,This Really Hot Guy Looks Like The Love Child Of Zayn And Liam From One Direction
1,19 Pictures That Prove Kids Are Better Than Us All
0,Alabama wins 2010 American football college title
1,Which Halsey Song Are You
0,Ex-Ernst Partner Guilty of Insider Trading
1,Vote Now For The 2015 BuzzFeed Reality TV Awards
0,Taking the Measure of the Big East
1,How Well Do You Know The Words To Adele's New Album
1,19 Things Lazy Girls Who Hate Getting Ready Will Know To Be True
1,32 Gift Ideas For The Canadian In Your Life
0,"English Football: Manchester United News for August 6, 2008"
1,"Which ""Making A Murderer"" Lawyer Should Be Your Boo"
0,Iran's Supreme Leader wants religious army
0,Shares Down on a Day of Choppy Trading
0,University of Chicago's Mansueto Library suffers power outage
0,Consumer Confidence Hits a 9-Month High
0,Passenger jet lands safely at Newark Airport after pilot dies
0,Bulusan Volcano releases some ash
1,"People On Twitter Are Really Confused About ""The Ghost Of Ladbrokes"""
1,I Wore A Smart Ring For A Month And This Is What Happened
1,Can You Name Every My Chemical Romance Song
0,Airplane crashes into flats in South Africa
1,Here's What To Do If Your Phone's Storage Is Full
1,"All The Times Jackie And Kelso Kissed On ""That 70's Show"""
0,New book Blown for Good reveals details inside Scientology headquarters
0,Miners survive underground fire in Tasmania
0,Signs G.O.P. Is Rethinking Stance on Gay Marriage
1,How Full Of Crap Is Your House
0,Opera Internet browser goes ad-free
0,Those Who Lost Savings Find Little Comfort
1,17 Pictures That Are Guaranteed To Make You Want A Squigglism Tattoo
1,Your Horoscope For The Week Of December 28
0,Greece wildfires force thousands to evacuate
0,Last WWII Comanche 'code talker' dies
1,24 Disappointing White Elephant Gifts People Have Actually Ended Up With
0,Polish leaders discuss the anti-missile shield negotiations
1,These New Horror Movies Will Make You Scared Of Your Mom And Grandma
1,25 Things You Won't Believe People Tried To Sneak On Planes
1,We Pranked A Bunch Of People By Dropping An iPhone In Front Of Them
0,Grandmother of Barack Obama dies at 86
0,"Chief Justice of the United States, William H Rehnquist, dies at age 80"
1,17 Eye-Opening Portraits Of Gamers With Their Avatars
0,Obama Housing Plan Tries to Slow Downward Spiral
0,Taiwan culls 18000 chickens due to H5N2 virus outbreak
0,Four Romanian ambassadors recalled
1,Do You Know Your Husband Well Enough To Recognize His Touch
0,English Football: Manchester United clinch Premier League title
0,Musician John Martyn dies at age 60
1,Should You Be Best Friends With Kendall Or Kylie
1,20 Solo A Cappella Videos That Are Truly Masterpieces
1,Some Lucky Muggles Are Having Christmas Dinner In The Great Hall At Hogwarts
0,BBC drops programmes as third of staff join strike
1,19 Photos Of Dogs Being Adorable During The Blizzard
1,"It Took Us A Serious Minute To Figure Out Who The Famous Person On The Cover Of ""Elle"" Is"
1,These 6 Assault Survivor Stories Will Break Your Heart
1,17 Inexplicably Delightful GIFs
1,This Cashier's Random Act Of Kindness Is Going Viral
1,What Natural Disaster Do You Fuck Like
0,Guilty Pleas in Austria Dungeon Case
0,"Competing for Food, Beetle Becomes a Killer"
0,Rhode Island Weighs Using Shorter Official Name
1,19 Tweets About Chipotle That'll Actually Make You Laugh
1,Hilary Duff On Her Phone Is Every Twentysomething Ever
0,A Soccer World Traveler Comes Full Circle
1,Here's A Preview Of The New MAC Makeup Designed By A Bunch Of Badass Women
1,"I'm An Atheist, But I'm Not"
1,What's Your Actual Name Based On Your Birth Month
0,Novelist J.D. Salinger dies aged 91
1,15 Deliciously Awesome Items For Anyone Who Loves Tacos
1,Are You Taylor Swift Or Becky
0,African Union rejects calls for action on Zimbabwe
1,17 Last-Minute Super Bowl Recipes That You Need In Your Life
0,McCain and Obama face off in U.S. presidential candidate debate
1,"When You Binge-Watch ""Making A Murderer"" And Think You Can Solve Crimes"
1,25 Race Training Tips From Actual Runners Who Have Been There
1,"7 Essays To Read: Smoking To Get Sober, Asian Pseudonyms, And Loneliness"
1,Please Watch This Cat Balance A Q-Tip On His Tiny Little Nose
0,"According to UN report, bribes cost Afghans US$2.5 billion per year"
0,Syracuse Beats Cornell for 11th Lacrosse Title
0,US B-2 bomber crash in Guam caused by moisture on sensors
0,"In Tehran, a Symbol Is Ready to Reappear"
0,Academy Award-winning actress Jennifer Jones dies at age 90
0,Lewis Hamilton wins 2009 Hungarian Grand Prix
0,Call for White House Control of Security
1,Things My Dick Does Is Dick Pics You Might Actually Want To See
0,"Philippine fireworks factory explosion kills at least 8, injures 70 more"
0,Washington Churches Eye the Obamas
0,"In Silt, Bangladesh Sees Potential Shield Against Sea Level Rise"
0,A Celebration on Wheels in Observance of Purim
0,"Paulus, Former Duke Guard, Chooses Syracuse for Football"
0,Reports: North Korea to test third nuclear bomb
1,"Hey Guys, Ted Mosby Is In India"
0,"Asian earthquake toll nears 60,000"
1,Rainbow Bagels Are Here And We Can't Keep Our Shit Together
1,Tell Us About Your Self(ie): Kym Whitley
0,Bayern Munich Starlet wins awards at 2007 FIFA U17 World Cup
1,The John Lewis Christmas Ad Has Resulted In A Lot Of People Being A Sobbing Mess Again
0,Twenty killed in Lake George USA boating accident
1,Have You Had A Real-Life Meet-Cute
0,Nightwish added to billing of UK's Bloodstock Open Air festival
0,Moldova State University student to represent Moldova at world cyber games in Singapore
0,Vodafone New Zealand buys Internet provider ihug
0,Brand Names Live On After the Stores Are Closed
1,23 Times Andy Samberg Killed It As Host Of The Emmy Awards
0,Shoppers World hosts arts event
0,First Black Mayor in City Known for Klan Killings
1,21 Things All Former Scottish Underage Drinkers Will Remember
1,The 19 Best Movies Of 2015
0,Tonga: Four guilty over ferry disaster that killed 74
0,"Amid the Gloom, Some Signs of Life"
1,John Boyega Was Actually The Cutest Part Of The BAFTAs
1,19 Gorgeous Finnish Baby Names That Will Make You Broody
0,Australian Broadcasting Corporation plans to call California for Obama before polls close
1,"Ryan Reynolds Got Dunked On ""Ellen"" To Raise Money For Make-A-Wish Foundation"
1,Puppies Tested The New BB-8 Toy And It's Everything You Need
0,International experts probe deadly Ebola Reston virus outbreak in Philippine pigs
1,The 9 People You Play In Beer Pong
0,Hillary Clinton forms presidential exploratory committee
0,"Trade for Shaq Looks Like a Blockbuster, But It Could Be a Bust"
1,These Are The Top Baby Names Of 2015
0,European football: Tottenham defeats Celtic 2 - 0
0,"Despite Torture Video, U.S. and Emirates Sign Key Pact"
1,39 Products That Will Help You Embrace Your Inner Cat Lady In 2016
0,Two dead in Michigan college shooting
0,"Judge known for jailing pirates shot dead in Bossaso, Somalia"
1,Here's How To Try Black Tap Milkshakes Without Spending $15
0,UN renews Darfur peacekeeping mission
0,Magic Seizes a Redeeming Series Lead Over the Cavs
1,Which British Musician Are You Based On Your Zodiac Sign
0,Anti-terror amendments to be rushed through Australian parliament because of new 'potential threats'
1,When You're Out Of F*&%s To Give
0,"Tired of Looking for Work, Some Create Their Own"
0,2008 Olympic torch arrives in London
1,9 Actors Who Actually Have More Oscar Nominations Than Leo DiCaprio
1,Kendall Jenner Is Officially A Victoria's Secret Model
1,This Spoof Kids Book About Hipsters Is Hilarious
1,These Pit Bull Brothers Are The Cutest Thing You'll See All Day
0,Showing Off Your Solutions in a White Paper
1,47 Drake Lyrics For When You Need An Instagram Caption
0,Berlusconi to remain in hospital after assault
1,What Assumption Has Someone Made About You Because You're A Feminist
0,"In Gaza, the Wait to Rebuild Lingers"
0,An angered Robert Novak exited set of CNN ''Inside Politics'' show
0,2008 TaiSPO & Taipei Cycle: A reunion with more opportunities
0,"Billy Mays Is Gone, but His Infomercials Go On"
1,"Can You Guess The ""Pretty Little Liars"" Episode Based On The Screencap"
1,24 Stages Of Getting Shitfaced During The Week
1,How ~Deep~ Are You
1,Here's A Map Of Canada If It Were Westeros
1,15 Totally Wild Confessions About Sex Tapes
1,27 Tweets About Starbucks That'll Actually Make You Laugh
1,People Try Grass Jelly Drink For The First Time
0,Sweeping bank regulatory overhaul passed in US House of Representatives
1,What It's Like To Live With Your Best Friend
1,"UK's Slow Response To Ebola Cost Thousands Of Lives, Says Report"
1,Winter Is Undoubtedly The Best Season Of Them All
1,We Know Where You Live Based On Your Favorite Foods
0,Search for child abductor continues in Australia
1,10 Italian Dishes Your Nonna Would Be Proud Of
0,Mobile ringtone tops the UK singles chart
1,21 Things All Ulta Beauty Fans Will Understand
1,22 Powerful Sia Lyrics That Can Stand On Their Own
0,California jury orders Skilled Healthcare to pay $671 million in damages
0,Sotomayor Leaves Passion Behind
1,A Tragic Love Story In 30 Pictures
1,Simple Leopard Halloween Makeup You Can Do In 10 Minutes
0,"Google launches web browser, dubbed Chrome"
0,"On Voting Rights, Test of History v. Progress"
1,Here's What Native Americans Have To Say About Christopher Columbus
1,9 Helpful Things For A Bad Day
1,A Definitive Ranking Of Babyface's Greatest Hits
1,This Guy Animated His Class Doodles Into An Epic Dance Video
0,USA Today Names New Publisher and Editor
0,Europe and Russia Fail to Agree on Gas Deal
0,California teamsters picket Orange County transit system in contract dispute
0,Germany Going Into Elections Divided on Economic Approach
1,13 Parts Of Your Body You Didn't Know Had Names
0,Texas Considers Allowing Guns on Campuses
1,5 Great Books To Read In October
1,Which Celebrity Should Be Under Your Tree On Christmas Morning
0,Hurricane Dean is upgraded to a Category 2 storm
0,Somali pirates threaten to kill British hostages in days
1,We Know Your Relationship Status Based On Your Opinions About 2015
1,27 Inspiring Portraits Of Famous Artists In Their Creative Zone
1,250 Nuns Just Cycled All The Way From Kathmandu To New Delhi
0,Man misdiagnosed as being in coma for 23 years
0,Six bomb attacks kill 95 in Baghdad
0,"In Britain and Spain, More Signs of Slowdown"
1,11 Bowls Of Oatmeal That Will Change Your Breakfast Forever
1,18 Of The Least Productive Members Of Society
0,Wal-Mart Settles Lawsuit Claiming Discrimination
1,For Anyone Who Truly Appreciates Rihanna's Remarkable Beauty
0,American musician Bo Diddley dies at age 79
0,Interrogation Memos Detail Harsh Tactics by the C.I.A.
0,Ethiopians vote amid opposition charges of fraud
0,New Australian industrial relations legislation passes House of Representatives
0,Southwest Airlines Posts a Fourth-Quarter Loss
1,Can We Guess Your Age And Where You Live Based On Your Taste In Music
1,21 People Making The Most Of This Gift Called Life
0,U.S. Senator Santorum: ‘not to run’ in 2008 Presidential race
0,Music videos return to UK version of YouTube after agreement with PRS
0,"Deadly tornadoes rip through southern US, killing over 300"
0,Ban Ki-moon calls for Zimbabwe elections to be postponed
1,What's Your Craziest Bachelorette Party Experience
1,Kylie Jenner Is Officially Way More Popular Than Kim Kardashian
1,Supreme Is Tight But Maybe Not These Hoodies With Hentai On Them
0,New Zealand woman survives being run over by train
0,Budget-Conscious States Team Up to Save Money
1,Can You Solve This Crossword About Farts
0,Geithner Said to Have Prevailed on the Bailout
0,Two British girls arrested for smuggling in Ghana
1,Does Coffee Make You Poop
1,WTF The Fuck Is Going On With Harry Styles' Trousers Right Now
0,Senate Likely to Vote on Sotomayor in August
0,Obama Takes His Health Care Case to the Public
0,"Christchurch, NZ man admits murdering wife and neighbour and having sex with bodies"
1,10 Places To Travel In 2016
1,This Book Is For Everyone Who Loves TV As Much As Literature
1,We Know Your Favorite Female Celeb Based On Your Favorite Male Celeb
1,Which Classic Cocktail Are You
0,Is Star Power Enough to Sell Beer in Hard Times? Two Brewers Hope So
1,17 Ways To Keep Your Kid Safe This Halloween
1,This 24-Year-Old Guy Got Drunk And Accidentally Booked An Insane Vacation
1,18 Products On Sale For Over 30% Off You Should Totally Buy If You Love To Sparkle
0,University's lion mascot out like a lamb after DUI
0,U.S. Asking E.U. to Take Detainees
1,11 Iconic Bollywood Magazine Covers That Would Have Broken The Internet
1,21 Things That Mildly Thrill Everyone Who Works In Retail
0,"Virginia Commonwealth, Now Well Known, Gains an N.C.A.A. Berth"
0,Cable Wars Are Killing Objectivity
1,11 Times Bollywood Stars Bravely Opened Up About Their Deepest Personal Struggles
1,"What's The Unluckiest, Weirdest Or Stupidest Way You've Failed Your Driving Test"
1,This Is The Grossest Thing On The Internet This Week
0,Sixth arrest warrant issued for Thailand's former PM Thaksin
1,Couples Who Met On Dating Apps Look Back On Their Very First Messages
0,Bonnie Fuller Rises Again to Edit Hollywood Life
1,10 Celebrities You Might Not Know Were Muslim
1,"How Well Can You Remember ""Grease"""
0,"U.S. Infrastructure Is in Dire Straits, Report Says"
1,This Arvind Kejriwal Tweet Perfectly Captures The Extent Of Delhi's Air Pollution
1,This Puzzle Is For Everyone Who Suffers From Bug Bites
1,People Try Iconic Asian Snacks
1,Famous Person Justin Bieber Randomly Ran Into Other Famous Person Adam Sandler On The Street
1,This Inkblot Test Will Determine What You Hate The Most
1,Which Leonardo DiCaprio Character Is Your Soulmate
1,23 Tweets About The Internet That Will Make You Laugh Out Loud
0,"Thai Rebels Recruiting in Schools, Study Says"
1,18 Of The Most WTF Photoshop Fails Of 2015
0,"Hurricane Katrina strikes Florida, kills seven"
0,Luxury-Goods Makers Embrace Sustainability
1,This Dude Has His Tinder Profile Overhauled By Co-Workers
0,A Box of Cash Yields a Mystery
1,We Need To Talk About Nickelback
0,Virginia crime commission endorses tougher dog law legislation
1,"This Is What Happened When We Watched ""The Little Mermaid"" For The First Time"
1,"When A Farmer Was Too Sick To Harvest His Crops, The Community Banded Together To Do It For Him"
1,Cam Newton's Pants Aren't Even The Worst Thing In This Picture
0,"With Tour De France, Gallic Pride Fades in the Saddle"
1,This Guy Who Cosplays As Deadpool Every Year Is Almost As Funny As Ryan Reynolds
1,Taylor Swift Missed A Note And Cried At The Grammys
0,Blair denies Iraq pullout
1,What Is Your Vagina Horror Story
0,Stocks Drop Amid Swine Flu Concerns
1,33 Everyday Words With Hilariously Punny Double Meanings
1,The 21 Funniest Body Image Tweets From 2015
1,27 Signs You May Be A Meninist
1,Michael Bay Has Made A Real Tragedy Into A Dumb Action Movie
0,Venezuelan economy shrank by 5.8% in fourth quarter of 2009
0,"Police exchange shots in South Melbourne, Australia"
0,Belgian prime minister offers resignation
1,Beans Memes Is The Only Twitter Account That Actually Matters
0,Libyan government accuses three Dutch helicopter crew of transporting spies
1,26 Seriously Awesome Gifts Only True London Underground Fans Will Love
0,Local Agencies Team Up to Sell Industry on Minneapolis
1,We Found Out Who The BABE Was Sitting Behind Jake Tapper At The GOP Debate
0,Fund-Raising Still Has Its Perks in the Obama Era
1,"The Entire ""Street Fighter V"" Cast Ranked By Design"
1,"Hey Indians, With Just One Question We Can Tell You If You're A Monster"
0,I.O.C. Bars International Torch Relays
1,When Do Women Decide To Have Sex
0,Heavy turbulence during WestJet flight injures nine people
1,Celebs Play The Blind Kissing Challenge
1,Why'd I Dump This Chump
0,"Rival Sues Hilton Hotels, Claiming Theft of Proprietary Data"
0,Silverjet ceases operations and enters administration
0,This Recession Is Not a Good Time to Be Middle-Aged
1,17 Thoughts Women Have Had During Sex That Are Way Too Real
0,Accountants Figure in Inquiry Into Madoff Fraud
0,US federal judge and Florida judge clash over Scientology wrongful death case
0,US Federal Reserve Chairman gives first news conference
0,Study estimates first human HIV infection 100 years ago
1,9 Delicious Vegan Desserts You Won't Believe Are Made From Tofu
0,Former Scientology executives say leader David Miscavige abused staff
1,I Have To Push My Own Limits To Let My Kids Find Theirs
1,"Nike Gave ""Back To The Future"" Self-Tying Shoes To Michael J. Fox"
1,12 Wedding Tips For Brides With Anxiety
1,39 Foods You Should Beg Mom To Make While You're Home For The Holidays
1,Are You More Niall Horan Or Ed Sheeran
0,Samsung releases its first tablet computer
1,"Reminder That The Convenience Store Scene From ""Magic Mike XXL"" Was The Best Scene Of 2015"
0,"Suicide bomber kills 24 in Peshawar, Pakistan"
1,This Graphic Novel Perfectly Describes What It's Like To Be A Teenage Girl
0,Queensland win W-League Grand Final
0,Libyan city of Misrata reported to be secure after Gaddafi forces retreat
1,This Epic Chili Bar Is The Easiest Party You'll Ever Throw
1,People Who Fucking Hate Dressing Up For Halloween: You Are Not Alone
1,Are These Solo Artists Better Than Their Original Bands
0,Decline in PC Orders Leads to Microsoft Layoffs
0,"Wheaton Academy, Illinois boys basketball team plays Benet Academy, suffers first in-state loss"
0,Kirin and Suntory Consider a Merger in Japan
0,"As Isiah Thomas Resurfaces, Knicks Rebuild a Franchise"
1,Justin Trudeau Meets Taylor Swift In This Hilarious Parody
1,Which Instagram Filter Should You Use On Your First Picture Of 2016
0,Israeli President Shimon Peres collapses in Tel Aviv
0,'Tim Hortons' coffee shops to go 'Cold Stone'
0,Canadian National Exhibition takes place in Toronto
1,This Two-Question Quiz Will Tell You Which Scary Movie To Watch
1,21 Things Every College Kid Is Tired Of Hearing On Thanksgiving
1,Which Anna Kendrick Tweet Are You Based On Your Zodiac Sign
0,Web browser Firefox increases market share in Europe
1,"A Theme Park With ""Titanic"" Rides Is Officially Happening"
1,Cher Destroys Donald Trump In One Little Tweet
1,All The Big Winners From The 2016 Grammy Awards
1,18 Things That Are Way Too Real For People Who Stay Up Late
